"school","county","district","total","p_amind","p_asian","p_black","p_hisp","p_white","p_mult","p_unreported"
"High Tech Elementary Chula Vista","San Diego","Chula Vista Elementary",382,0,0.0130890052356021,0.0235602094240838,0.803664921465969,0.109947643979058,0.049738219895288,0
"High Tech Middle Chula Vista","San Diego","Chula Vista Elementary",322,0.0062111801242236,0.0683229813664596,0.0186335403726708,0.739130434782609,0.114906832298137,0.0496894409937888,0.0031055900621118
"Citizens of the World Charter School 5","Los Angeles","Los Angeles Unified",130,0,0.0307692307692308,0.0923076923076923,0.246153846153846,0.446153846153846,0.184615384615385,0
"Citizens of the World Charter School Hollywood","Los Angeles","Los Angeles Unified",459,0,0.176470588235294,0.037037037037037,0.318082788671024,0.411764705882353,0.0544662309368192,0.00217864923747277
"Citizens of the World Charter School Mar Vista","Los Angeles","Los Angeles Unified",595,0.00168067226890756,0.053781512605042,0.13109243697479,0.4,0.32436974789916,0.0823529411764706,0.00672268907563025
"Citizens of the World Charter School Silver Lake","Los Angeles","Los Angeles Unified",846,0.00118203309692671,0.124113475177305,0.0614657210401891,0.411347517730496,0.314420803782506,0.0709219858156028,0.016548463356974
"City Language Immersion Charter","Los Angeles","Los Angeles Unified",393,0.00254452926208651,0.0203562340966921,0.175572519083969,0.608142493638677,0.165394402035623,0.0203562340966921,0.00763358778625954
"High Tech LA","Los Angeles","Los Angeles Unified",351,0.0056980056980057,0.0199430199430199,0.0284900284900285,0.327635327635328,0.564102564102564,0.0313390313390313,0.0227920227920228
"High Tech LA Middle","Los Angeles","Los Angeles Unified",210,0,0.0285714285714286,0.0523809523809524,0.328571428571429,0.557142857142857,0.0285714285714286,0.00476190476190476
"Larchmont Charter","Los Angeles","Los Angeles Unified",1547,0.000646412411118293,0.202327084680026,0.0407239819004525,0.278603749191984,0.370394311570782,0.102779573367809,0.00452488687782805
"The City","Los Angeles","Los Angeles Unified",317,0.0157728706624606,0.0189274447949527,0.375394321766562,0.353312302839117,0.182965299684543,0.0410094637223975,0.0126182965299685
"Valley Charter Elementary","Los Angeles","Los Angeles Unified",254,0,0.0511811023622047,0.015748031496063,0.484251968503937,0.358267716535433,0.0905511811023622,0
"Valley Charter Middle","Los Angeles","Los Angeles Unified",280,0,0.0142857142857143,0.0357142857142857,0.753571428571429,0.164285714285714,0.0214285714285714,0.0107142857142857
"Urban Montessori Charter","Alameda","Oakland Unified",390,0.00512820512820513,0.0666666666666667,0.207692307692308,0.302564102564103,0.274358974358974,0.143589743589744,0
"Yu Ming Charter","Alameda","Oakland Unified",541,0.00184842883548983,0.489833641404806,0.0905730129390018,0.0683918669131238,0.0924214417744917,0.255083179297597,0.00184842883548983
"Tomorrow's Leadership Collaborative (TLC) Charter","Orange","Orange Unified",150,0,0.0266666666666667,0.00666666666666667,0.746666666666667,0.146666666666667,0.0133333333333333,0.06
"Odyssey Charter","Los Angeles","Pasadena Unified",470,0,0.025531914893617,0.1,0.297872340425532,0.427659574468085,0.148936170212766,0
"Growth Public","Sacramento","Sacramento City Unified",241,0,0.0622406639004149,0.0871369294605809,0.307053941908714,0.186721991701245,0.0622406639004149,0.294605809128631
"High Tech Elementary","San Diego","San Diego Unified",424,0.0165094339622642,0.0400943396226415,0.0589622641509434,0.445754716981132,0.356132075471698,0.080188679245283,0.00235849056603774
"High Tech Elementary Explorer","San Diego","San Diego Unified",388,0.0103092783505155,0.038659793814433,0.0979381443298969,0.479381443298969,0.275773195876289,0.095360824742268,0.00257731958762887
"High Tech Elementary Mesa","San Diego","San Diego Unified",298,0.00335570469798658,0.063758389261745,0.0436241610738255,0.278523489932886,0.459731543624161,0.144295302013423,0.00671140939597315
"High Tech High","San Diego","San Diego Unified",507,0.00394477317554241,0.0315581854043393,0.0571992110453649,0.497041420118343,0.315581854043393,0.0927021696252465,0.0019723865877712
"High Tech High International","San Diego","San Diego Unified",389,0.0077120822622108,0.0437017994858612,0.0591259640102828,0.491002570694087,0.300771208226221,0.0976863753213368,0
"High Tech High Media Arts","San Diego","San Diego Unified",389,0.0051413881748072,0.0282776349614396,0.0462724935732648,0.568123393316195,0.264781491002571,0.0874035989717224,0
"High Tech High Mesa","San Diego","San Diego Unified",307,0.00977198697068404,0.0423452768729642,0.0423452768729642,0.361563517915309,0.446254071661238,0.0977198697068404,0
"High Tech Middle","San Diego","San Diego Unified",331,0.00906344410876133,0.0392749244712991,0.0755287009063444,0.468277945619335,0.344410876132931,0.0634441087613293,0
"High Tech Middle Media Arts","San Diego","San Diego Unified",332,0.00602409638554217,0.0451807228915663,0.0602409638554217,0.5,0.313253012048193,0.0753012048192771,0
