"school","district","county","ls_county","p_county","ls_district","p_district"
"Citizens of the World Charter School 5","Los Angeles Unified","Los Angeles",0.619367782390012,9.58090187240302e-05,0.823677403432749,0.000230730047619132
"Citizens of the World Charter School Hollywood","Los Angeles Unified","Los Angeles",0.359756035983047,0.000338279535340999,0.595580341851286,0.000814654552747551
"Citizens of the World Charter School Mar Vista","Los Angeles Unified","Los Angeles",0.215645162043216,0.000438510508775369,0.333534460574884,0.00105603367948757
"Citizens of the World Charter School Silver Lake","Los Angeles Unified","Los Angeles",0.181972623980174,0.00062349561415792,0.351155007089274,0.00150152015604451
"City Language Immersion Charter","Los Angeles Unified","Los Angeles",0.0923703928742675,0.000289638033527261,0.0824583704182498,0.000697514682417838
"High Tech LA","Los Angeles Unified","Los Angeles",0.545061836334086,0.000258684350554882,0.69865891539878,0.000622971128571657
"High Tech LA Middle","Los Angeles Unified","Los Angeles",0.49648399361029,0.000154768414861895,0.645409899463055,0.000372717769230906
"Larchmont Charter","Los Angeles Unified","Los Angeles",0.414811148017881,0.00114012732281596,0.688439552345272,0.00274568756666767
"Odyssey Charter","Pasadena Unified","Los Angeles",0.495008606067157,0.000346386452309955,0.281692616778275,0.0278271166370634
"The City","Los Angeles Unified","Los Angeles",0.473702063594809,0.000233626607196289,0.49720583975437,0.000562626346886653
"Valley Charter Elementary","Los Angeles Unified","Los Angeles",0.242781674938708,0.000187196082737721,0.368257076724096,0.000450811016117381
"Valley Charter Middle","Los Angeles Unified","Los Angeles",0.0644080633230071,0.000206357886482527,0.0434602203519309,0.000496957025641208
"Gateway High","San Francisco Unified","San Francisco",0.0712144598421773,0.00902011909375991,0.0744489876506446,0.00914367354228056
"Gateway Middle","San Francisco Unified","San Francisco",0.289418485619918,0.00528522603149995,0.296478644254359,0.00535762121618002
"Growth Public","Sacramento City Unified","Sacramento",0.965214934893528,0.00102225634456401,1.07241331975168,0.0055359029723894
"High Tech Elementary","San Diego Unified","San Diego",0.0293218439269655,0.000901483194992516,0.0704241923033483,0.00373597906441921
"High Tech Elementary Chula Vista","Chula Vista Elementary","San Diego",0.211485147065037,0.000812185331337597,0.0181358686743745,0.013922804971389
"High Tech Elementary Explorer","San Diego Unified","San Diego",0.0449699161320483,0.000824942169002585,0.0362967776551747,0.00341877329479871
"High Tech Elementary Mesa","San Diego Unified","San Diego",0.131445415760324,0.000633589604027759,0.169175399055958,0.00262575887074746
"High Tech Elementary North County","San Marcos Unified","San Diego",0.0339854987488179,0.000901483194992516,0.0471720723021789,0.0206597476002534
"High Tech High","San Diego Unified","San Diego",0.0234639075775017,0.00107795278269152,0.0491913630909717,0.00446731458882202
"High Tech High Chula Vista","Sweetwater Union High","San Diego",0.222710827635002,0.00119063818206559,0.0101836356766324,0.015695067264574
"High Tech High International","San Diego Unified","San Diego",0.0236537249036958,0.000827068308613417,0.0424874113762166,0.00342758456617705
"High Tech High Media Arts","San Diego Unified","San Diego",0.0333258199355595,0.000827068308613417,0.0594589871182814,0.00342758456617705
"High Tech High Mesa","San Diego Unified","San Diego",0.0748186775051896,0.000652724860525241,0.136794764928352,0.00270506031315258
"High Tech High North County","San Marcos Unified","San Diego",0.0523878914703508,0.000875969519662539,0.0463075725264497,0.0200750377625104
"High Tech Middle","San Diego Unified","San Diego",0.0307457767724293,0.000703752211185195,0.0598915116321195,0.00291653082623292
"High Tech Middle Chula Vista","Chula Vista Elementary","San Diego",0.137840766001729,0.000684616954687713,0.0324419523092207,0.0117359769654117
"High Tech Middle Media Arts","San Diego Unified","San Diego",0.0169313984700047,0.000705878350796027,0.0423959836667282,0.00292534209761126
"High Tech Middle Mesa","San Diego Unified","San Diego",0.0921272804040779,0.000474129133215403,0.11940086698855,0.00196491351737142
"High Tech Middle North County","San Marcos Unified","San Diego",0.0352568092895083,0.000684616954687713,0.0885359307641623,0.0156897139794377
"Summit Public School: Denali","Sunnyvale","Santa Clara",0.0971034268432232,0.002503974235423,0.0497960863915996,0.0755373338302895
"Tomorrow's Leadership Collaborative (TLC) Charter","Orange Unified","Orange",0.253579336513511,0.000336667841263357,0.151867200339725,0.00565632188242392
"Summit Public School: Shasta","Sunnyvale","San Mateo",0.164270795696292,0.00438634003298919,0.0848958538307868,0.0446018138899242
"Summit Public School: Tamalpais","Sunnyvale","Contra Costa",0.295448086881125,0.00300389596203561,0.39816248657268,0.0614983227730153
"Urban Montessori Charter","Oakland Unified","Alameda",0.254973996233828,0.00185266118152279,0.225836654286387,0.00798378677147946
"Yu Ming Charter","Oakland Unified","Alameda",0.419340880372387,0.00256997358770213,0.84850267739705,0.0110749452394112
