"school","id_code","county","district","type","total","amind","asian","black","hisp","mult","white","econdis","ell","swd"
"ACADEMY OF THE CITY CHARTER SCHOOL","343000860998","QUEENS","NEW YORK CITY GEOGRAPHIC DISTRICT #30","CHARTER",631,0.00792393026941363,0.270998415213946,0.0760697305863708,0.496038034865293,0.0221870047543582,0.126782884310618,0.692551505546751,0.0950871632329636,0.112519809825674
"BROOKLYN PROSPECT CHARTER -CSD 15.2","331500861162","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #15","CHARTER",291,0.00343642611683849,0.0481099656357388,0.147766323024055,0.233676975945017,0.0652920962199313,0.501718213058419,0.374570446735395,0.0446735395189003,0.240549828178694
"BROOKLYN PROSPECT CHARTER-CSD 13","331300861077","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #13","CHARTER",687,0.00291120815138282,0.0509461426491994,0.324599708879185,0.142649199417758,0.074235807860262,0.404657933042213,0.398835516739447,0,0.181950509461426
"BROOKLYN PROSPECT CHARTER-CSD 15","331500860935","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #15","CHARTER",677,0.00443131462333826,0.0782865583456425,0.197932053175775,0.290989660265879,0.0398818316100443,0.388478581979321,0.485967503692762,0.0147710487444609,0.186115214180207
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","331500861011","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #15","CHARTER",304,0,0.0263157894736842,0.151315789473684,0.332236842105263,0.0723684210526316,0.417763157894737,0.407894736842105,0.0394736842105263,0.256578947368421
"CENTRAL QUEENS ACADEMY CHARTER SCHOO","342400861025","QUEENS","NEW YORK CITY GEOGRAPHIC DISTRICT #24","CHARTER",399,0.0025062656641604,0.175438596491228,0.0977443609022556,0.676691729323308,0,0.0476190476190476,0.889724310776942,0.12531328320802,0.0902255639097744
"COMMUNITY ROOTS CHARTER SCHOOL","331300860893","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #13","CHARTER",474,0,0.0590717299578059,0.255274261603376,0.166666666666667,0.0991561181434599,0.419831223628692,0.291139240506329,0,0.255274261603376
"COMPASS CHARTER SCHOOL","331300861066","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #13","CHARTER",327,0.00917431192660551,0.0917431192660551,0.247706422018349,0.131498470948012,0.0703363914373089,0.44954128440367,0.311926605504587,0.0275229357798165,0.247706422018349
"ELMWOOD VILLAGE CHARTER - HERTEL","140600861105","ERIE","BUFFALO CITY SCHOOL DISTRICT","CHARTER",302,0.0033112582781457,0.0562913907284768,0.380794701986755,0.16887417218543,0.119205298013245,0.271523178807947,0.66887417218543,0.043046357615894,0.208609271523179
"ELMWOOD VILLAGE CHARTER DAYS PARK","140600860896","ERIE","BUFFALO CITY SCHOOL DISTRICT","CHARTER",443,0.00225733634311512,0.0090293453724605,0.27765237020316,0.167042889390519,0.106094808126411,0.437923250564334,0.573363431151242,0.0112866817155756,0.158013544018059
